name,ingredients,method
Spicy jerk potato & pineapple hash,"[{""""ing_group"""":""700g Maris Piper potatoes , cut into medium chunks""},{""""ing_group"""":""1 tbsp vegetable oil""},{""""ing_group"""":""4 rashers streaky bacon , cut into bite-sized pieces""},{""""ing_group"""":""40g unsalted butter""},{""""ing_group"""":""½ tbsp jerk seasoning""},{""""ing_group"""":""200g prepared pineapple chunks""},{""""ing_group"""":""4 large eggs""},{""""ing_group"""":""½ small pack coriander , torn""},{""""ing_group"""":""½ red chilli , thinly sliced""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Bring a large pan of lightly salted water to the boil. Add the potatoes and boil for 7 mins, then drain and leave to steam-dry for 5 mins. Meanwhile, heat the oil in a large frying pan over a medium heat and fry the bacon for 5 mins until crispy.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Add the butter to the pan along with the potatoes and seasoning, and fry over a medium heat, turning occasionally, for 12 mins. Nestle the pineapple chunks in the pan and cook for a further 3 mins.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Crack the eggs over the potatoes, cover the pan with a lid or large plate and cook for 5-6 mins over a medium-low heat until the whites are just set and the yolks are still runny. Finish with the coriander and a sprinkle of chilli.""}]"
Roasted aubergine & tomato curry,"[{""""ing_group"""":""600g baby aubergines, sliced into rounds""},{""""ing_group"""":""3 tbsp olive oil""},{""""ing_group"""":""2 onions, finely sliced""},{""""ing_group"""":""2 garlic cloves, crushed""},{""""ing_group"""":""1 tsp garam masala""},{""""ing_group"""":""1 tsp turmeric""},{""""ing_group"""":""1 tsp ground coriander""},{""""ing_group"""":""400ml can chopped tomatoes""},{""""ing_group"""":""400ml can coconut milk""},{""""ing_group"""":""pinch of  sugar (optional)""},{""""ing_group"""":""½ small pack coriander, roughly chopped""},{""""ing_group"""":""rice or chapatis, to serve""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 200C/180C fan/gas 6. Toss the aubergines in a roasting tin with 2 tbsp olive oil, season well and spread out. Roast for 20 mins or until dark golden and soft.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Heat the remaining oil in an ovenproof pan or flameproof casserole dish and cook the onions over a medium heat for 5-6 mins until softening. Stir in the garlic and spices, for a few mins until the spices release their aromas.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Tip in the tomatoes, coconut milk and roasted aubergines, and bring to a gentle simmer. Simmer for 20-25 mins, removing the lid for the final 5 mins to thicken the sauce. Add a little seasoning if you like, and a pinch of sugar if it needs it. Stir through most of the coriander. Serve over rice or with chapatis, scattering with the remaining coriander.""}]"
Spicy oven-baked chicken & chips,"[{""""ing_group"""":""1 tbsp Cajun seasoning""},{""""ing_group"""":""2 tbsp vegetable oil""},{""""ing_group"""":""zest and juice 1  lime""},{""""ing_group"""":""750g large  potato , cut into chips""},{""""ing_group"""":""1kg chicken wing""},{""""ing_group"""":""green salad or coleslaw and  ketchup , to serve""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 200C/180C fan/gas 6. In a bowl, whisk together the Cajun seasoning, vegetable oil, lime zest and juice. Toss the chips, wings and Cajun mixture together in batches, so that everything is well coated.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Cover a large baking sheet with foil, then arrange the chips around the outside and the wings in the middle. Season and bake for 20 mins, then turn the chips and return to the oven for a further 20-25 mins until the chips and wings are golden. Serve with green salad, or coleslaw and ketchup.""}]"
Haddock with cannellini beans & artichokes,"[{""""ing_group"""":""400g can cannellini beans , drained and rinsed""},{""""ing_group"""":""1 small lemon , zested and juiced""},{""""ing_group"""":""small garlic clove , grated""},{""""ing_group"""":""1 tbsp roughly chopped parsley""},{""""ing_group"""":""2 tbsp olive oil""},{""""ing_group"""":""1 skinless haddock fillet""},{""""ing_group"""":""2 artichokes from a can, drained and halved""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 200C/180C fan/gas 6. In a bowl, mix the beans, zest and juice of half the lemon, the garlic and parsley. Stir through 1 tbsp olive oil and season to taste. Very lightly crush the beans with the back of a wooden spoon, keeping some of them whole.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Cut a large square of baking parchment, spoon the beans onto the centre and top with the fish. Scatter the artichokes around the fish, drizzle over the remaining olive oil, squeeze a little lemon juice over and season well. Bring both sides of the parchment upwards and fold together to create a tight seal, then twist the ends tightly (like a giant sweet).""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Put the fish on a baking tray and bake in the oven for 13-15 mins or until the fish is just cooked.""}]"
Raspberry cordial,"[{""""ing_group"""":""500g raspberry""},{""""ing_group"""":""500g caster sugar""},{""""ing_group"""":""3 tbsp red wine vinegar""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Put the raspberries in a pan with the sugar and vinegar. Mash over a low heat for 10 mins until smooth and syrupy. Rub through a sieve into a clean pan.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Tip the seeds from the sieve into a bowl and stir in 300ml water, then sieve again to remove the last of the pulp from seeds. Pour the liquid into the pan with the sieved pulp, stir well and boil for 1 min. Pour into small sterilised bottles and seal. The cordial will keep unopened for a few months. Once opened, store in the fridge.""}]"
Herbed Jersey Royal crab cakes,"[{""""ing_group"""":""400g Jersey Royal potatoes , scrubbed not peeled""},{""""ing_group"""":""2 tbsp olive oil""},{""""ing_group"""":""pinch of fennel seeds""},{""""ing_group"""":""¼ bulb of fennel , finely chopped""},{""""ing_group"""":""1 red chilli , deseeded and finely chopped""},{""""ing_group"""":""1 garlic clove , crushed""},{""""ing_group"""":""4 spring onions , sliced""},{""""ing_group"""":""handful of samphire (optional)""},{""""ing_group"""":""200g cooked crabmeat , a mix of white and brown""},{""""ing_group"""":""finely chopped soft herbs (a mixture of dill, parsley and tarragon works well), plus extra to serve""},{""""ing_group"""":""1 tbsp capers""},{""""ing_group"""":""pinch of cayenne pepper""},{""""ing_group"""":""1 lemon , 1/2 zested and juiced, 1/2 cut into wedges for serving""},{""""ing_group"""":""1 tbsp mayonnaise , plus extra to serve""},{""""ing_group"""":""flour ,  for dusting""},{""""ing_group"""":""watercress , to serve""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Put the potatoes in a pan, cover with water, add 1 tsp salt and bring to the boil. Cook for 12-15 mins or until tender enough to smash. Leave to cool.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Heat 1 tbsp of the oil in a frying pan and add the fennel seeds, fennel, chilli and garlic followed by the spring onions. Gently cook for 3-5 mins until fragrant but not coloured. During the last minute, add the samphire.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""In a bowl, mash the potatoes until well broken down, then combine with the crabmeat, herbs, spring onion mix, cayenne, lemon zest and mayo. Season and mix until well combined, then chill for 30 mins.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Heat oven to 200C/180C fan/gas 6. Oil your hands and shape the mixture into eight palm-sized patties and dip in plenty of flour. Be careful, as they are quite fragile and sticky – a good way to do this is on a tray lined with baking parchment. If you have time, put in the fridge to set for 30 mins before cooking. Heat the remaining oil in a non-stick frying pan and fry for 2-3 mins on each side until crisp and golden. Transfer to an oiled baking tray and finish in the oven for 5 mins. Serve with mayo, some watercress tossed with the remaining herbs, and the lemon juice with the lemon wedges on the side.""}]"
Pineapple & pork skewers,"[{""""ing_group"""":""400g pork fillet""},{""""ing_group"""":""4 tbsp light muscovado sugar""},{""""ing_group"""":""60ml cider vinegar""},{""""ing_group"""":""1 tsp fish sauce""},{""""ing_group"""":""½ small pineapple , peeled, cored and cut into chunks (or use ready prepped fresh pineapple, drained well)""},{""""ing_group"""":""1 green pepper , deseeded and cut into squares (optional)""},{""""ing_group"""":""4 spring onions , trimmed and cut into 4 equal lengths""},{""""ing_group"""":""small bunch coriander , chopped (optional)""},{""""ing_group"""":""cooked rice or pitta, to serve""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Cut the pork into cubes. Heat the sugar and vinegar in a pan over a low heat until the sugar melts. Add the fish sauce and cool. Tip in the pork and mix well so that all the cubes are covered in sauce.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Heat the barbecue. If you are using coals, wait until they turn white. If you are indoors, heat a griddle pan. Thread the pork and pineapple onto skewers, alternating pieces with the pepper and spring onion.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Barbecue or griddle the skewers for 3-4 mins each side (you may need to cook them for longer if griddling). Sprinkle with coriander, if you like, then serve with rice or slide into pitta breads.""}]"
Herbed Jersey Royal crab cakes,"[{""""ing_group"""":""400g Jersey Royal potatoes , scrubbed not peeled""},{""""ing_group"""":""2 tbsp olive oil""},{""""ing_group"""":""pinch of fennel seeds""},{""""ing_group"""":""¼ bulb of fennel , finely chopped""},{""""ing_group"""":""1 red chilli , deseeded and finely chopped""},{""""ing_group"""":""1 garlic clove , crushed""},{""""ing_group"""":""4 spring onions , sliced""},{""""ing_group"""":""handful of samphire (optional)""},{""""ing_group"""":""200g cooked crabmeat , a mix of white and brown""},{""""ing_group"""":""finely chopped soft herbs (a mixture of dill, parsley and tarragon works well), plus extra to serve""},{""""ing_group"""":""1 tbsp capers""},{""""ing_group"""":""pinch of cayenne pepper""},{""""ing_group"""":""1 lemon , 1/2 zested and juiced, 1/2 cut into wedges for serving""},{""""ing_group"""":""1 tbsp mayonnaise , plus extra to serve""},{""""ing_group"""":""flour ,  for dusting""},{""""ing_group"""":""watercress , to serve""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Put the potatoes in a pan, cover with water, add 1 tsp salt and bring to the boil. Cook for 12-15 mins or until tender enough to smash. Leave to cool.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Heat 1 tbsp of the oil in a frying pan and add the fennel seeds, fennel, chilli and garlic followed by the spring onions. Gently cook for 3-5 mins until fragrant but not coloured. During the last minute, add the samphire.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""In a bowl, mash the potatoes until well broken down, then combine with the crabmeat, herbs, spring onion mix, cayenne, lemon zest and mayo. Season and mix until well combined, then chill for 30 mins.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Heat oven to 200C/180C fan/gas 6. Oil your hands and shape the mixture into eight palm-sized patties and dip in plenty of flour. Be careful, as they are quite fragile and sticky – a good way to do this is on a tray lined with baking parchment. If you have time, put in the fridge to set for 30 mins before cooking. Heat the remaining oil in a non-stick frying pan and fry for 2-3 mins on each side until crisp and golden. Transfer to an oiled baking tray and finish in the oven for 5 mins. Serve with mayo, some watercress tossed with the remaining herbs, and the lemon juice with the lemon wedges on the side.""}]"
Pineapple & pork skewers,"[{""""ing_group"""":""400g pork fillet""},{""""ing_group"""":""4 tbsp light muscovado sugar""},{""""ing_group"""":""60ml cider vinegar""},{""""ing_group"""":""1 tsp fish sauce""},{""""ing_group"""":""½ small pineapple , peeled, cored and cut into chunks (or use ready prepped fresh pineapple, drained well)""},{""""ing_group"""":""1 green pepper , deseeded and cut into squares (optional)""},{""""ing_group"""":""4 spring onions , trimmed and cut into 4 equal lengths""},{""""ing_group"""":""small bunch coriander , chopped (optional)""},{""""ing_group"""":""cooked rice or pitta, to serve""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Cut the pork into cubes. Heat the sugar and vinegar in a pan over a low heat until the sugar melts. Add the fish sauce and cool. Tip in the pork and mix well so that all the cubes are covered in sauce.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Heat the barbecue. If you are using coals, wait until they turn white. If you are indoors, heat a griddle pan. Thread the pork and pineapple onto skewers, alternating pieces with the pepper and spring onion.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Barbecue or griddle the skewers for 3-4 mins each side (you may need to cook them for longer if griddling). Sprinkle with coriander, if you like, then serve with rice or slide into pitta breads.""}]"
Strawberry shortcake slice,"[{""""ing_group"""":""600ml double cream""},{""""ing_group"""":""1 tbsp vanilla bean paste""},{""""ing_group"""":""1 tbsp orange blossom water""},{""""ing_group"""":""125g icing sugar , plus 2 tbsp""},{""""ing_group"""":""500g shortcake biscuits , plus 3 crushed""},{""""ing_group"""":""350g strawberries , sliced""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Line a 20cm cake tin or dish (either a square or rectangle works well) with cling film, leaving an overhang. Whip 500ml of the cream, the vanilla, orange blossom water and 125g icing sugar with an electric whisk until thick and billowy.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Add a layer of biscuits to the tin, and spoon over some of the cream, about 1cm thick all over. Add a layer of strawberry slices, then repeat with the cream, biscuits and strawberries until you fill the tin, finishing on a layer of biscuit. You’ll have some strawberries left over to serve. Press everything down well so every biscuit is covered in cream. Cover and chill overnight.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""To serve, flip the tin onto a serving plate, and remove the cling film. Whip the remaining 100ml cream with 1 tbsp icing sugar and dollop on top of the cake, swirling it around. Top with the remaining strawberry slices in lines, sift over the remaining 1 tbsp icing sugar, and sprinkle the biscuit crumbs in between the rows of strawberries. Cut into slices to serve.""}]"
